date,lead,model,rmse,mae,iiee,aee,me,me_iiee_ratio
2024-02-13,10,Persistence,0.09675723314285278,0.036108117550611496,98750.0,18750.0,80000.0,0.810126582278481
2024-02-14,10,Persistence,0.08310066163539886,0.03123563341796398,80625.0,30625.0,50000.0,0.6201550387596899
2024-02-23,10,Persistence,0.08541911095380783,0.03526800870895386,66250.0,31250.0,35000.0,0.5283018867924528
2024-02-24,10,Persistence,0.08129995316267014,0.03141044080257416,83125.0,9375.0,73750.0,0.8872180451127819
2024-03-09,10,Persistence,0.07189993560314178,0.022162433713674545,85625.0,33125.0,52500.0,0.6131386861313869
2024-03-23,10,Persistence,0.050892360508441925,0.015868768095970154,57500.0,27500.0,30000.0,0.5217391304347826
2024-03-24,10,Persistence,0.04581592604517937,0.014983849599957466,44375.0,16875.0,27500.0,0.6197183098591549
2024-04-02,10,Persistence,0.06653992831707001,0.02218213863670826,43750.0,11250.0,32500.0,0.7428571428571429
2024-04-03,10,Persistence,0.07364668697118759,0.024718083441257477,48125.0,23125.0,25000.0,0.5194805194805194
2024-04-04,10,Persistence,0.0575847364962101,0.018025491386651993,38750.0,3750.0,35000.0,0.9032258064516129
2024-04-09,10,Persistence,0.09105754643678665,0.027763161808252335,85000.0,20000.0,65000.0,0.7647058823529411
2024-04-10,10,Persistence,0.0874616876244545,0.02746252343058586,88750.0,13750.0,75000.0,0.8450704225352113
2024-04-11,10,Persistence,0.07817120850086212,0.024451201781630516,65000.0,11250.0,53750.0,0.8269230769230769
2024-04-12,10,Persistence,0.08783446997404099,0.031086986884474754,65625.0,625.0,65000.0,0.9904761904761905
2024-04-13,10,Persistence,0.09502865374088287,0.033317070454359055,72500.0,23750.0,48750.0,0.6724137931034483
2024-04-24,10,Persistence,0.09143910557031631,0.03435370326042175,81250.0,25000.0,56250.0,0.6923076923076923
2024-04-28,10,Persistence,0.09832799434661865,0.035105589777231216,86875.0,19375.0,67500.0,0.7769784172661871
2024-04-29,10,Persistence,0.0999276265501976,0.03845483064651489,85000.0,27500.0,57500.0,0.6764705882352942
